OrderID,CustomerID,WarehouseID,PartnerID,RouteID,OrderDate,DispatchDate,ExpectedDeliveryDate,ActualDeliveryDate,DispatchDelay_hrs,Delay_Days,Is_Late,SLA_Breached,DeliveryStatus,DeliveryAttempts,PackageCategory,PackageWeight_kg,OrderValue_INR,VehicleType,TimeOfDispatch,WeatherCondition,DriverExperience_yrs,PaymentMode,IsReturnOrder,IsWeekendOrder,CustomerFeedbackScore,NDR_Raised,ShippingCost_INR,OrderPriority
ORD000001,CUST0407,WH005,DP004,RT021,01-01-2023,02-01-2023,07-01-2023,07-01-2023,46,0,0,0,Delivered,1,Beauty,0.65,341.54,Van,Evening,Clear,5,Prepaid,0,1,4.1,0,108.72,Standard
ORD000002,CUST0026,WH004,DP006,RT047,01-01-2023,01-01-2023,06-01-2023,07-01-2023,12,1,1,1,Delivered,1,Clothing,0.57,942.56,Truck,Afternoon,Heatwave,14,COD,0,1,3.7,0,72.22,Express
ORD000003,CUST0237,WH011,DP003,RT015,01-01-2023,02-01-2023,07-01-2023,10-01-2023,42,3,1,1,Delivered,2,Toys,1.28,1148.99,Truck,Morning,Fog,4,COD,0,1,2.9,1,119.88,Standard
ORD000004,CUST0310,WH007,DP004,RT013,01-01-2023,01-01-2023,05-01-2023,05-01-2023,13,0,0,0,Delivered,1,Electronics,2.55,18919.84,Bike,Morning,Rain,8,Prepaid,0,1,4.4,0,144.88,Express
ORD000005,CUST0172,WH007,DP001,RT052,01-01-2023,02-01-2023,07-01-2023,07-01-2023,28,0,0,0,Delivered,1,FMCG,3.32,288.42,Bike,Evening,Rain,3,Prepaid,0,1,4.1,0,261.48,Standard
ORD000006,CUST0233,WH008,DP006,RT050,01-01-2023,02-01-2023,06-01-2023,NULL,36,NULL,1,1,Failed,3,Electronics,5.02,18105.68,Van,Evening,Clear,2,COD,0,1,NULL,1,395.99,Express
ORD000007,CUST0037,WH004,DP006,RT055,01-01-2023,02-01-2023,07-01-2023,10-01-2023,46,3,1,1,Delivered,2,Beauty,1.06,1016.49,Bike,Evening,Clear,6,Prepaid,0,1,1.3,1,105.74,Standard
ORD000008,CUST0265,WH005,DP003,RT007,01-01-2023,01-01-2023,06-01-2023,06-01-2023,23,0,0,0,Delivered,1,Grocery,5.04,581.2,Truck,Morning,Clear,7,Prepaid,0,1,3.2,0,329.84,Express
ORD000009,CUST0478,WH010,DP001,RT040,01-01-2023,01-01-2023,05-01-2023,05-01-2023,23,0,0,0,Delivered,1,Clothing,1.09,1348.53,Truck,Night,Fog,10,Prepaid,0,1,4.8,0,130.26,Standard
ORD000010,CUST0013,WH014,DP005,RT008,01-01-2023,02-01-2023,07-01-2023,14-01-2023,38,7,1,1,Delivered,2,Grocery,3.76,889.5,Van,Afternoon,Rain,6,Prepaid,0,1,3.4,1,282.53,Standard
ORD000011,CUST0496,WH001,DP004,RT043,01-01-2023,02-01-2023,06-01-2023,NULL,31,NULL,1,1,Failed,2,Toys,2.01,1543.07,Truck,Night,Fog,9,Prepaid,0,1,NULL,1,93.04,Express
ORD000012,CUST0316,WH001,DP007,RT056,01-01-2023,01-01-2023,06-01-2023,07-01-2023,13,1,1,1,Delivered,3,Electronics,3.6,5624.82,Truck,Afternoon,Rain,10,Prepaid,0,1,2.2,1,313.49,Express
ORD000013,CUST0106,WH005,DP002,RT041,01-01-2023,02-01-2023,06-01-2023,05-01-2023,39,-1,0,0,Delivered,1,FMCG,1.89,246.11,Truck,Morning,Clear,8,Wallet,0,1,3.8,0,185.12,Express
ORD000014,CUST0126,WH008,DP001,RT038,01-01-2023,01-01-2023,06-01-2023,09-01-2023,6,3,1,1,Delivered,1,Beauty,0.69,841.6,Van,Morning,Storm,11,Prepaid,0,1,2.8,1,113.58,Standard
ORD000015,CUST0336,WH005,DP002,RT052,01-01-2023,02-01-2023,07-01-2023,07-01-2023,47,0,0,0,Delivered,1,Furniture,13.65,14862.58,Van,Evening,Rain,8,Prepaid,0,1,4,0,768.57,Standard
ORD000016,CUST0494,WH014,DP003,RT002,01-01-2023,01-01-2023,03-01-2023,07-01-2023,13,4,1,1,Returned,1,Furniture,18.58,24035.02,Bike,Morning,Clear,9,COD,1,1,2.9,1,1338.56,Express
ORD000017,CUST0384,WH003,DP002,RT037,01-01-2023,02-01-2023,05-01-2023,05-01-2023,32,0,0,0,Delivered,1,FMCG,1.58,486.47,Bike,Evening,Storm,15,Prepaid,0,1,4,0,173.94,Standard
ORD000018,CUST0130,WH001,DP008,RT022,01-01-2023,02-01-2023,07-01-2023,11-01-2023,35,4,1,1,Delivered,2,FMCG,1.52,502.26,Truck,Morning,Storm,6,Prepaid,0,1,2,1,189.91,Standard
ORD000019,CUST0479,WH003,DP002,RT055,01-01-2023,01-01-2023,06-01-2023,07-01-2023,2,1,1,1,Delivered,2,Electronics,4.57,13117.47,Bike,Evening,Fog,13,Wallet,0,1,1.1,0,300.77,Standard
ORD000020,CUST0316,WH012,DP005,RT054,01-01-2023,03-01-2023,08-01-2023,07-01-2023,62,-1,0,0,Delivered,1,Books,0.74,440.48,Bike,Afternoon,Heatwave,9,COD,0,1,4.2,0,73.2,Standard
ORD000021,CUST0256,WH002,DP003,RT004,01-01-2023,02-01-2023,04-01-2023,04-01-2023,32,0,0,0,Delivered,1,Toys,1.55,736.39,Van,Evening,Clear,3,COD,0,1,4.3,0,137.06,Standard
ORD000022,CUST0441,WH006,DP004,RT052,01-01-2023,02-01-2023,07-01-2023,07-01-2023,46,0,0,0,Delivered,1,Toys,0.93,1229.67,Bike,Morning,Fog,11,COD,0,1,4.1,0,63.68,Express
ORD000023,CUST0115,WH005,DP007,RT047,01-01-2023,02-01-2023,07-01-2023,13-01-2023,31,6,1,1,Delivered,4,Books,0.57,521.62,Truck,Morning,Heatwave,10,Prepaid,0,1,3.4,1,99.14,Same-Day
ORD000024,CUST0299,WH008,DP004,RT007,01-01-2023,02-01-2023,07-01-2023,06-01-2023,29,-1,0,0,Delivered,1,Clothing,0.66,630.23,Truck,Evening,Fog,6,COD,0,1,4.1,0,108.22,Express
ORD000025,CUST0403,WH001,DP002,RT001,01-01-2023,01-01-2023,03-01-2023,02-01-2023,14,-1,0,0,Delivered,1,Electronics,4.95,4818.93,Van,Afternoon,Rain,12,COD,0,1,4.2,0,433.84,Standard
ORD000026,CUST0124,WH008,DP002,RT019,01-01-2023,02-01-2023,07-01-2023,07-01-2023,31,0,0,0,Delivered,1,Appliances,11.26,5466.83,Truck,Afternoon,Clear,1,COD,0,1,4.7,0,648.58,Standard
ORD000027,CUST0256,WH004,DP007,RT058,01-01-2023,02-01-2023,07-01-2023,07-01-2023,32,0,0,0,Delivered,1,FMCG,1.66,480.47,Van,Afternoon,Clear,1,Prepaid,0,1,4.3,0,101.7,Standard
ORD000028,CUST0139,WH013,DP008,RT030,01-01-2023,01-01-2023,05-01-2023,NULL,9,NULL,1,1,Failed,3,Books,0.39,549.93,Truck,Night,Storm,12,Prepaid,0,1,NULL,1,88.42,Express
ORD000029,CUST0206,WH011,DP002,RT050,02-01-2023,03-01-2023,07-01-2023,07-01-2023,40,0,0,0,Delivered,1,Clothing,0.92,460.37,Truck,Morning,Clear,14,Prepaid,0,0,4.7,0,111.92,Standard
ORD000030,CUST0047,WH005,DP005,RT002,02-01-2023,02-01-2023,04-01-2023,07-01-2023,6,3,1,1,Delivered,1,Electronics,8.98,13696.84,Bike,Evening,Clear,12,COD,0,0,1.5,1,339.74,Same-Day
ORD000031,CUST0217,WH014,DP003,RT055,02-01-2023,03-01-2023,08-01-2023,10-01-2023,45,2,1,1,Delivered,1,Electronics,3.45,10762.39,Truck,Morning,Rain,2,Wallet,0,0,1.7,0,308.36,Standard
ORD000032,CUST0319,WH001,DP005,RT053,02-01-2023,03-01-2023,08-01-2023,13-01-2023,32,5,1,1,Delivered,1,Toys,1.12,1445.87,Truck,Evening,Clear,15,Prepaid,1,0,1.6,1,114.71,Standard
ORD000033,CUST0391,WH010,DP008,RT013,02-01-2023,03-01-2023,07-01-2023,16-01-2023,42,9,1,1,Delivered,1,Books,0.52,796.6,Bike,Night,Rain,3,Prepaid,0,0,1.6,0,60.02,Standard
ORD000034,CUST0463,WH005,DP002,RT028,02-01-2023,03-01-2023,07-01-2023,07-01-2023,46,0,0,0,Delivered,1,Books,0.88,390.98,Van,Evening,Heatwave,15,Prepaid,0,0,3.7,0,76.44,Express
ORD000035,CUST0350,WH005,DP005,RT014,02-01-2023,03-01-2023,08-01-2023,09-01-2023,40,1,1,1,Delivered,2,Appliances,11.5,7167.69,Bike,Morning,Clear,5,Prepaid,1,0,2.3,0,515.39,Same-Day
ORD000036,CUST0123,WH002,DP003,RT003,02-01-2023,03-01-2023,06-01-2023,06-01-2023,33,0,0,0,Delivered,1,Electronics,4.77,14829.03,Van,Morning,Clear,13,Prepaid,0,0,3.7,0,196.68,Express
ORD000037,CUST0031,WH007,DP005,RT016,02-01-2023,03-01-2023,07-01-2023,12-01-2023,40,5,1,1,Delivered,2,Electronics,5.53,19186.49,Van,Afternoon,Rain,5,Prepaid,0,0,2.5,1,240.3,Express
ORD000038,CUST0472,WH001,DP003,RT025,02-01-2023,03-01-2023,05-01-2023,07-01-2023,42,2,1,1,Delivered,3,Clothing,0.57,883.35,Truck,Evening,Rain,14,Prepaid,1,0,2.3,1,118.63,Standard
ORD000039,CUST0055,WH008,DP005,RT046,02-01-2023,02-01-2023,07-01-2023,09-01-2023,18,2,1,1,Delivered,1,FMCG,1.65,251.57,Van,Evening,Heatwave,14,Prepaid,1,0,2.6,0,150.16,Express
ORD000040,CUST0153,WH003,DP002,RT047,02-01-2023,02-01-2023,07-01-2023,07-01-2023,0,0,0,0,Delivered,1,Beauty,0.61,1185.01,Van,Afternoon,Clear,8,Wallet,0,0,4.1,0,108.31,Same-Day
